Company Name,Industry,Symbol,Series,ISIN Code,token
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,18143.0
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,18096.0
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,13310.0
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,9683.0
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,2955.0
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,12092.0
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,13260.0
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,13359.0
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,1922.0
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,24948.0
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,18564.0
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,1997.0
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019,17818.0
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,11483.0
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,19234.0
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,9480.0
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,3220.0
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,10440.0
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,2277.0
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,2031.0
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,19061.0
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,15380.0
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,4067.0
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,10999.0
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,2142.0
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,22377.0
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,509.0
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,4503.0
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,31181.0
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,23650.0
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,31415.0
NCC Ltd.,Construction,NCC,EQ,INE868B01028,2319.0
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,17400.0
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,15332.0
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,11630.0
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,6364.0
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,17963.0
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,18721.0
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,20242.0
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,2475.0
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,17438.0
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,6705.0
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,10738.0
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,6656.0
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,25358.0
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,24184.0
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,18908.0
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,14413.0
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,17029.0
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,18365.0
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,11351.0
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,14552.0
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,2664.0
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,11571.0
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,9590.0
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,14299.0
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,14977.0
Praj Industries Ltd.,Capital Goods,PRAJIND,EQ,INE074A01025,2705.0
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,25049.0
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,20302.0
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,10666.0
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,18391.0
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,15355.0
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,9552.0
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,2885.0
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,17971.0
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,21808.0
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,3273.0
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,30125.0
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,4204.0
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,3103.0
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,4306.0
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,3150.0
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,13332.0
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,4684.0
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,3045.0
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,2963.0
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,3351.0
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,3339.0
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,3363.0
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,12018.0
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,27066.0
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,10243.0
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,8479.0
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,11536.0
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,3432.0
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,3411.0
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,3456.0
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,3426.0
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,3499.0
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,20293.0
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,13538.0
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,3506.0
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,3518.0
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,13786.0
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,1964.0
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,312.0
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,14154.0
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,11287.0
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,11532.0
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,10753.0
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,10447.0
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,18921.0
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,3063.0
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,14366.0
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,3718.0
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,25907.0
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,3787.0
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,11915.0
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,7929.0
